DocID,position,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q21,Q22,Q23,n_patients,mortality_rate,avg_los,avg_apache,avg_sofa
doc-01,bedside,4.366666666666666,4.166666666666667,4.566666666666666,4.2,4.066666666666666,3.8666666666666667,3.466666666666667,4.3,4.333333333333333,4.266666666666667,4.433333333333334,4.1,3.7333333333333334,4.366666666666666,4.066666666666666,4.066666666666666,4.266666666666667,4.4,4.333333333333333,4.1,4.333333333333333,4.366666666666666,578,0.7352941176470589,11.591695501730104,23.695501730103807,7.356401384083045
doc-02,bedside,4.254237288135593,4.491525423728813,4.203389830508475,4.220338983050848,4.440677966101695,4.033898305084746,3.440677966101695,4.203389830508475,4.186440677966102,4.220338983050848,4.288135593220339,4.203389830508475,4.101694915254237,4.423728813559322,4.084745762711864,4.338983050847458,4.169491525423729,4.237288135593221,4.440677966101695,4.203389830508475,4.372881355932203,4.220338983050848,744,0.6801075268817204,12.010752688172044,22.717741935483872,7.310483870967742
doc-03,bedside,4.333333333333333,4.5,4.291666666666667,4.291666666666667,4.458333333333333,4.041666666666667,3.5416666666666665,3.9583333333333335,4.5,4.4375,4.270833333333333,4.020833333333333,3.9791666666666665,4.354166666666667,4.25,4.1875,4.3125,4.395833333333333,4.270833333333333,4.229166666666667,4.333333333333333,4.166666666666667,688,0.6497093023255814,10.5,22.853197674418606,7.1104651162790695
doc-04,bedside,4.333333333333333,4.333333333333333,3.8958333333333335,4.333333333333333,4.520833333333333,3.9375,3.4375,3.8333333333333335,4.395833333333333,4.1875,4.104166666666667,4.0625,3.75,4.520833333333333,4.083333333333333,4.208333333333333,4.208333333333333,4.395833333333333,4.3125,4.041666666666667,4.1875,4.229166666666667,759,0.5362318840579711,12.507246376811594,22.907773386034254,7.055335968379446
doc-05,bedside,4.428571428571429,4.4,4.485714285714286,4.514285714285714,4.171428571428572,4.171428571428572,3.7142857142857144,4.171428571428572,4.514285714285714,4.228571428571429,4.228571428571429,4.171428571428572,3.9714285714285715,4.257142857142857,4.3428571428571425,4.285714285714286,4.0285714285714285,4.2,4.371428571428571,4,4.428571428571429,4.0285714285714285,945,0.5851851851851851,11.343915343915343,21.50793650793651,6.8010582010582015
doc-06,bedside,4.571428571428571,4.190476190476191,4.333333333333333,4.333333333333333,4.476190476190476,4.0476190476190474,3.857142857142857,4.142857142857143,4.380952380952381,3.857142857142857,4.666666666666667,4.095238095238095,4.190476190476191,4.476190476190476,4.333333333333333,4.380952380952381,4.285714285714286,4.380952380952381,4.476190476190476,4.333333333333333,4.380952380952381,4.095238095238095,911,0.6004390779363337,11.823271130625686,24.0384193194292,7.326015367727772
doc-07,bedside,4.304347826086956,4,4.434782608695652,4.434782608695652,4.130434782608695,3.9565217391304346,3.4782608695652173,4.521739130434782,4.086956521739131,4.3478260869565215,4.043478260869565,4.043478260869565,3.869565217391304,4.478260869565218,4.217391304347826,4,4.130434782608695,4.434782608695652,4.217391304347826,3.9565217391304346,4.130434782608695,4.260869565217392,875,0.5211428571428571,11.809142857142858,21.63657142857143,7.049142857142857
doc-08,bedside,4.5,4.3,4.1,4.633333333333334,4.566666666666666,4.233333333333333,3.433333333333333,4.2,4.566666666666666,4.133333333333334,4.233333333333333,3.8666666666666667,4.033333333333333,4.333333333333333,4.266666666666667,4.1,4.033333333333333,4.366666666666666,4.366666666666666,4.366666666666666,4.5,4.4,593,0.8094435075885329,10.107925801011804,23.556492411467115,7.824620573355818
doc-09,bedside,4.424242424242424,4.606060606060606,4.151515151515151,4.212121212121212,4.606060606060606,4.212121212121212,3.4242424242424243,4.0606060606060606,4.151515151515151,4.181818181818182,4.03030303030303,4.0606060606060606,4.212121212121212,4.666666666666667,4.181818181818182,3.9696969696969697,4.0606060606060606,4.515151515151516,4.424242424242424,4.575757575757576,4.090909090909091,3.9393939393939394,685,0.6014598540145986,10.598540145985401,22.69197080291971,7.348905109489051
doc-10,bedside,4.714285714285714,4.571428571428571,4.285714285714286,4.619047619047619,4.333333333333333,3.9047619047619047,3.6666666666666665,3.9047619047619047,4.190476190476191,4.238095238095238,4.666666666666667,4.238095238095238,4.142857142857143,4.714285714285714,4.142857142857143,4.238095238095238,4.238095238095238,4.428571428571429,4.380952380952381,3.9047619047619047,4.428571428571429,4.095238095238095,920,0.425,9.58695652173913,21.779347826086955,7.202173913043478
doc-11,bedside,4.166666666666667,4.416666666666667,4.166666666666667,4.416666666666667,4.5,3.3333333333333335,3.5,3.6666666666666665,4.666666666666667,4.083333333333333,4.25,4.25,3.6666666666666665,4.583333333333333,3.8333333333333335,4.25,4.333333333333333,4.083333333333333,4.25,3.75,4.333333333333333,4.25,888,0.4594594594594595,9.969594594594595,24.076576576576578,7.237612612612613
doc-12,bedside,4.62962962962963,4.222222222222222,4.333333333333333,4.296296296296297,4.592592592592593,4.2592592592592595,3.4814814814814814,3.8518518518518516,4.592592592592593,4.148148148148148,4.333333333333333,4.111111111111111,4.037037037037037,4.333333333333333,4.296296296296297,4.444444444444445,4.2592592592592595,4.185185185185185,4.333333333333333,4.481481481481482,4.407407407407407,4.074074074074074,773,0.32729624838292365,11.174644243208279,23.297542043984475,6.868046571798189
doc-13,bedside,4.705882352941177,4.235294117647059,4.411764705882353,4.4411764705882355,4.4411764705882355,3.8823529411764706,3.5,4.352941176470588,4.352941176470588,4.411764705882353,4.323529411764706,3.7058823529411766,3.823529411764706,4.294117647058823,4.117647058823529,4.205882352941177,4.147058823529412,4.323529411764706,4.323529411764706,4.323529411764706,4.323529411764706,4.294117647058823,627,0.2966507177033493,10.746411483253588,23.35725677830941,7.532695374800638
doc-14,bedside,4,4.25,4.5,4.25,4,4.333333333333333,3.1666666666666665,4.25,4.583333333333333,4.083333333333333,4.333333333333333,3.75,4.083333333333333,4.583333333333333,4.166666666666667,4.25,4,4.25,4.25,4.25,4.333333333333333,3.75,644,0.3059006211180124,10.554347826086957,23.56055900621118,7.886645962732919
doc-15,bedside,4.451612903225806,4.370967741935484,4.338709677419355,4.258064516129032,4.451612903225806,4.080645161290323,3.596774193548387,4.129032258064516,4.241935483870968,4.354838709677419,4.354838709677419,4.241935483870968,4.064516129032258,4.370967741935484,3.7903225806451615,4.290322580645161,4.290322580645161,4.096774193548387,4.209677419354839,4.17741935483871,4.225806451612903,4.370967741935484,714,0.21008403361344538,10.80952380952381,21.280112044817926,7.369747899159663
doc-16,bedside,3.8125,4.375,4.5625,4.3125,4.3125,4.5,3.75,4.75,4.75,4.125,4,4.125,4.25,4.3125,4.3125,4.125,3.8125,4.1875,4.4375,4.25,4.4375,4.125,570,0.41228070175438597,11.29298245614035,24.95614035087719,7.7368421052631575
doc-17,bedside,4.338461538461538,4.492307692307692,4.2153846153846155,4.461538461538462,4.384615384615385,3.8923076923076922,3.476923076923077,3.923076923076923,4.446153846153846,4.3076923076923075,4.523076923076923,3.9692307692307693,3.953846153846154,4.246153846153846,3.9846153846153847,4.446153846153846,4.1692307692307695,4.3076923076923075,4.184615384615385,4.092307692307692,4.2153846153846155,4.384615384615385,547,0.23948811700182815,9.921389396709323,22.53016453382084,7.345521023765996
doc-18,bedside,4.333333333333333,4.185185185185185,4.333333333333333,4.296296296296297,4.518518518518518,4.111111111111111,3.4814814814814814,4.407407407407407,4,4.333333333333333,4.2592592592592595,3.4074074074074074,4,4.444444444444445,4.037037037037037,4.111111111111111,4.074074074074074,4.777777777777778,4.2592592592592595,4.444444444444445,4.37037037037037,4.555555555555555,423,0.23167848699763594,10.479905437352246,25.17966903073286,8.416075650118204
doc-19,bedside,4.482758620689655,4.344827586206897,4.137931034482759,4.206896551724138,4.344827586206897,4.379310344827586,3.413793103448276,3.9655172413793105,4.103448275862069,4.172413793103448,4.379310344827586,4.241379310344827,4.310344827586207,4.275862068965517,3.689655172413793,4.310344827586207,4.068965517241379,4.482758620689655,4.517241379310345,4.206896551724138,4.103448275862069,4.344827586206897,413,0.2324455205811138,9.358353510895883,22.45762711864407,7.00726392251816
doc-20,bedside,4.651162790697675,4.372093023255814,4.1395348837209305,4.209302325581396,4.534883720930233,4.046511627906977,3.627906976744186,3.883720930232558,4.627906976744186,4.162790697674419,4.232558139534884,3.7906976744186047,3.9069767441860463,4.325581395348837,4,4.372093023255814,3.9302325581395348,4.395348837209302,4.116279069767442,4.209302325581396,4.209302325581396,4.511627906976744,471,0.3630573248407643,10.316348195329088,23.373673036093418,7.3036093418259025
doc-21,bedside,4.444444444444445,4.37037037037037,4.2592592592592595,4.296296296296297,4.2592592592592595,3.888888888888889,3.6296296296296298,4.185185185185185,4.592592592592593,3.8518518518518516,4.555555555555555,4.37037037037037,3.962962962962963,4.37037037037037,4.296296296296297,3.925925925925926,4.481481481481482,4.222222222222222,4.407407407407407,4.2592592592592595,4.111111111111111,4.333333333333333,321,0.24610591900311526,8.26791277258567,23.461059190031154,8.33956386292835
doc-22,bedside,4.588235294117647,4.4411764705882355,4.411764705882353,4.5,4.382352941176471,4.235294117647059,3.4411764705882355,4,4.470588235294118,3.823529411764706,4.0588235294117645,4.117647058823529,3.911764705882353,4.294117647058823,4.205882352941177,4.735294117647059,3.8529411764705883,4.117647058823529,4.205882352941177,4.117647058823529,4.352941176470588,4.382352941176471,472,0.298728813559322,12.004237288135593,24.798728813559322,9.027542372881356
doc-23,bedside,4.7,4.55,4.45,4.4,4.6,4.3,3.6,4.6,4.45,4.25,4.35,4.25,3.8,4.6,4.55,4.2,3.85,4.65,4.45,4.35,4.1,4.2,412,0.4077669902912621,10.364077669902912,25.66747572815534,9.70631067961165
doc-24,bedside,4.448275862068965,4.241379310344827,4.310344827586207,4.275862068965517,3.9655172413793105,4.310344827586207,3.5517241379310347,4.310344827586207,4.068965517241379,3.8620689655172415,4.206896551724138,4.137931034482759,4.206896551724138,4.206896551724138,3.896551724137931,4.413793103448276,4,4.551724137931035,4.137931034482759,4.172413793103448,4.379310344827586,4.137931034482759,388,0.1056701030927835,9.878865979381443,23.20360824742268,7.786082474226804
doc-25,bedside,4.333333333333333,4.266666666666667,4,4.533333333333333,4.333333333333333,3.933333333333333,3.533333333333333,4,4.6,4.133333333333334,4.266666666666667,3.8666666666666667,4.4,3.8666666666666667,4,4.6,4.133333333333334,3.7333333333333334,4.066666666666666,4.2,4.266666666666667,4.333333333333333,404,0.2202970297029703,12.292079207920793,22.866336633663366,9.400990099009901
